checkpoint,policy,config,scope,block,n_eps,mse,mae,normalized_mse,final_position_error,mean_squared_jerk_pred,mean_squared_jerk_gt,jerk_ratio_pred_over_gt,chunk_boundary_discontinuity,on_grid_fraction,mse_proprio_ablated,proprio_leakage_gap,grasp_precision,grasp_recall,grasp_f1,grasp_onset_timing_error_signed_steps,grasp_spurious_transitions,grasp_n_gt_events,grasp_n_pred_events,mse__std,mae__std,normalized_mse__std,final_position_error__std,mean_squared_jerk_pred__std,mean_squared_jerk_gt__std,jerk_ratio_pred_over_gt__std,chunk_boundary_discontinuity__std,on_grid_fraction__std,mse_proprio_ablated__std,proprio_leakage_gap__std,grasp_precision__std,grasp_recall__std,grasp_f1__std,grasp_onset_timing_error_signed_steps__std,grasp_spurious_transitions__std,grasp_n_gt_events__std,grasp_n_pred_events__std
R1b_handsin@D1,R1b_handsin,D1,cup_wipe_sponge_dryingrack,motion_token,1,0.001609042752534151,0.030763870105147362,0.4851181209087372,0.3146795630455017,0.000765649601817131,0.0009948730003088713,0.7695953167684972,2.8493441277532838e-05,0.04952721402214022,0.0017860566731542349,0.0001770139206200838,,,,,,,,,,,,,,,,,,,,,,,,,
R1b_handsin@D1,R1b_handsin,D1,floor_box_table,motion_token,1,0.004388649482280016,0.049292679876089096,0.5034719705581665,0.5280570387840271,0.0014413960743695498,0.001409223536029458,1.0228299751725258,5.260745820123702e-05,0.0658092248908297,0.00545452581718564,0.0010658763349056244,,,,,,,,,,,,,,,,,,,,,,,,,
R1b_handsin@D1,R1b_handsin,D1,AGGREGATE,motion_token,3,0.00430429307743907,0.04832870326936245,0.72249502936999,0.42876527706782025,0.001614237359414498,0.0012090020657827456,1.3158891350494946,6.843017460293292e-05,0.05266502818961575,0.004826502486442526,0.0005222094090034565,,,,,,,,0.0021670454062897694,0.013964730018005281,0.322810484695884,0.08773685108232411,0.000773152115544609,0.00016944351569522364,0.6024488993606217,4.063831220618117e-05,0.009708131919192264,0.0022699857768856474,0.0003890692153635929,,,,,,,
R1b_handsin@D1,R1b_handsin,D1,bottle_cupnoodles_shelf,left_hand_joints,1,2.5101378469116753e-06,0.000263996422290802,,0.001704827300272882,9.300709280068986e-06,0.0,,1.3439706663120887e-06,,1.7680108612694312e-06,-7.421269856422441e-07,0.0,,,,235.0,0.0,235.0,,,,,,,,,,,,,,,,,,
R1b_handsin@D1,R1b_handsin,D1,cup_wipe_sponge_dryingrack,left_hand_joints,1,0.0015424380544573069,0.004678469151258469,0.04774889722466469,0.0030691928695887327,4.4317723222775385e-05,4.345681008999236e-05,1.0198107760555872,2.488462268956937e-05,,0.0014353386359289289,-0.00010709941852837801,1.0,1.0,1.0,0.0,0.0,3.0,3.0,,,,,,,,,,,,,,,,,,
R1b_handsin@D1,R1b_handsin,D1,floor_box_table,left_hand_joints,1,0.0035723629407584667,0.006948818452656269,0.10658907145261765,0.010774175636470318,8.24450034997426e-05,2.0969486286048777e-05,3.9316653910875314,4.3712625483749434e-06,,0.0037761577405035496,0.00020379479974508286,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,2.0,3.0,3.0,,,,,,,,,,,,,,,,,,
R1b_handsin@D1,R1b_handsin,D1,AGGREGATE,left_hand_joints,3,0.0017057703776875617,0.003963761342068513,0.07716898433864117,0.005182731935443978,4.535447866752899e-05,2.1475432125347044e-05,2.4757380835715592,1.0199951968085466e-05,,0.0017377547957645827,3.198441807702087e-05,0.4444444444444444,0.6666666666666666,0.6666666666666666,0.0,79.0,2.0,80.33333333333333,0.0014619553902160663,0.0027754659469240717,0.02942008711397648,0.00399278978059151,2.9870030583766446e-05,1.7744775225281438e-05,1.455927307515972,1.04569208241434e-05,,0.0015556555120172736,0.00012901440178721772,0.41573970964154905,0.33333333333333337,0.33333333333333337,0.0,110.31167964756345,1.4142135623730951,109.36584882351936
R1b_handsin@D1,R1b_handsin,D1,bottle_cupnoodles_shelf,right_hand_joints,1,0.03696609288454056,0.10813260823488235,0.3194655478000641,0.0119837811216712,0.0004590915923472494,0.00010643349378369749,4.313412780381441,3.959144669352099e-05,,0.03648282587528229,-0.00048326700925827026,0.3333333333333333,0.2,0.25,0.0,2.0,5.0,3.0,,,,,,,,,,,,,,,,,,
R1b_handsin@D1,R1b_handsin,D1,cup_wipe_sponge_dryingrack,right_hand_joints,1,0.0009649918647482991,0.0041118101216852665,0.02931096777319908,0.0012054949766024947,6.499521987279877e-05,4.957460623700172e-05,1.3110587215171332,1.1951325177506078e-05,,0.0008795951143838465,-8.53967503644526e-05,0.6666666666666666,0.6666666666666666,0.6666666666666666,4.0,1.0,3.0,3.0,,,,,,,,,,,,,,,,,,
R1b_handsin@D1,R1b_handsin,D1,floor_box_table,right_hand_joints,1,0.0030182721093297005,0.006200231146067381,0.09306362271308899,0.005032312590628862,0.0001084849500330165,2.557596963015385e-05,4.2416749629352735,3.662304152385332e-05,,0.0029765197541564703,-4.175235517323017e-05,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,2.0,3.0,3.0,,,,,,,,,,,,,,,,,,
R1b_handsin@D1,R1b_handsin,D1,AGGREGATE,right_hand_joints,3,0.01364978561953952,0.03948154983421167,0.14728004609545073,0.006073862896300852,0.00021085725408435488,6.052802321695102e-05,3.288715488277949,2.9388604464960128e-05,,0.013446313581274202,-0.00020347203826531768,0.4444444444444444,0.39999999999999997,0.4166666666666667,1.3333333333333333,1.6666666666666667,3.6666666666666665,3.0,0.016508414587671185,0.04855111560848691,0.12450431184212919,0.00446142603029413,0.00017642383470299584,3.3906418376788235e-05,1.398721152564994,1.238942799390763e-05,,0.016311753374795134,0.0001986456269383787,0.15713484026367722,0.19626135258506325,0.1800205749557739,1.8856180831641267,0.4714045207910317,0.9428090415820634,0.0
R1b_handsin@D1,R1b_handsin,D1,bottle_cupnoodles_shelf,all,1,0.008991694077849388,0.06300342082977295,1.1166175603866577,0.4437243640422821,0.002204633317887783,0.0010129647562280297,2.176416607125762,0.00010557286441326141,,0.009213888086378574,0.00022219400852918625,,,,,,,,,,,,,,,,,,,,,,,,,
R1b_handsin@D1,R1b_handsin,D1,cup_wipe_sponge_dryingrack,all,1,0.0015452657826244831,0.026031021028757095,0.47158512473106384,0.3146968185901642,0.0006380353588610888,0.0008246550569310784,0.7736996863094643,2.6685025659389794e-05,,0.0016732328804209828,0.00012796709779649973,,,,,,,,,,,,,,,,,,,,,,,,,
R1b_handsin@D1,R1b_handsin,D1,floor_box_table,all,1,0.0041924105025827885,0.04162532091140747,0.4912402927875519,0.5281909108161926,0.0011998189147561789,0.0011604632018133998,1.0339137965609593,4.684407031163573e-05,,0.005081518087536097,0.0008891075849533081,,,,,,,,,,,,,,,,,,,,,,,,,
R1b_handsin@D1,R1b_handsin,D1,AGGREGATE,all,3,0.0049097901210188866,0.043553254256645836,0.6931476593017578,0.42887069781621295,0.001347495863835017,0.000999361004990836,1.3280100299987285,5.970065346142898e-05,,0.0053228796847785515,0.0004130895637596647,,,,,,,,0.0030820230073435166,0.015155357292594606,0.2995459333184961,0.08778916183721308,0.0006480296558407268,0.00013743016184743708,0.6092471506582534,3.3464325019637184e-05,,0.003083186857701125,0.00033878660446992327,,,,,,,
